,city,lat,lon,max temp,humidity,clouds,wind speed,country,date
0,kapaa,22.08,-159.32,78.8,78.0,75.0,11.41,US,1970-01-01
1,cape town,-33.93,18.42,60.01,93.0,90.0,18.34,ZA,1970-01-01
2,rikitea,-23.12,-134.97,69.35,80.0,94.0,21.47,PF,1970-01-01
3,punta arenas,-53.15,-70.92,39.2,80.0,90.0,4.7,CL,1970-01-01
4,campbell river,50.02,-125.24,66.2,72.0,40.0,8.05,CA,1970-01-01
5,carnarvon,-24.87,113.63,62.6,77.0,0.0,11.41,AU,1970-01-01
6,margate,51.38,1.39,64.0,68.0,75.0,1.99,GB,1970-01-01
7,bodaybo,57.85,114.19,57.38,60.0,100.0,2.44,RU,1970-01-01
8,butaritari,3.07,172.79,82.49,78.0,3.0,13.51,KI,1970-01-01
9,caravelas,-17.71,-39.25,77.45,65.0,26.0,9.62,BR,1970-01-01
10,mahebourg,-20.41,57.7,69.8,94.0,40.0,3.36,MU,1970-01-01
11,hithadhoo,-0.6,73.08,82.11,75.0,100.0,11.63,MV,1970-01-01
12,meulaboh,4.14,96.13,77.07,80.0,100.0,4.61,ID,1970-01-01
13,taolanaro,-26.65,15.16,58.51,59.0,0.0,14.25,NA,1970-01-01
14,luderitz,69.45,-133.04,42.8,100.0,75.0,2.24,CA,1970-01-01
15,tuktoyaktuk,59.7,30.79,60.8,67.0,40.0,8.95,RU,1970-01-01
16,nikolskoye,-54.8,-68.3,37.4,74.0,75.0,0.94,AR,1970-01-01
17,ushuaia,9.5,35.5,60.4,96.0,70.0,3.11,ET,1970-01-01
18,nedjo,36.12,-97.06,82.4,69.0,90.0,5.82,US,1970-01-01
19,stillwater,40.05,43.93,84.2,30.0,20.0,3.36,AM,1970-01-01
20,shenavan,3.25,-76.23,81.0,69.0,75.0,3.36,CO,1970-01-01
21,miranda,-6.43,39.55,77.14,77.0,23.0,15.57,TZ,1970-01-01
22,sokoni,-46.28,169.85,39.99,74.0,9.0,1.99,NZ,1970-01-01
23,kaitangata,-34.42,19.23,55.99,95.0,95.0,8.01,ZA,1970-01-01
24,hermanus,42.03,-8.16,84.0,36.0,0.0,8.99,PT,1970-01-01
25,vila,71.97,102.5,46.26,78.0,94.0,12.64,RU,1970-01-01
26,khatanga,-33.65,115.33,53.01,63.0,100.0,11.92,AU,1970-01-01
27,busselton,77.48,-69.36,31.5,81.0,0.0,5.79,GL,1970-01-01
28,qaanaaq,45.03,35.38,76.59,70.0,0.0,1.5,UA,1970-01-01
29,feodosiya,35.13,140.3,81.0,91.0,73.0,10.54,JP,1970-01-01
30,katsuura,40.6,-124.16,57.0,100.0,90.0,3.83,US,1970-01-01
31,fortuna,47.67,-52.73,70.0,48.0,75.0,10.29,CA,1970-01-01
32,torbay,68.75,161.3,34.36,89.0,4.0,7.05,RU,1970-01-01
33,cherskiy,5.41,100.34,82.4,88.0,20.0,4.7,MY,1970-01-01
34,sorvag,68.82,-51.19,37.4,86.0,75.0,4.7,GL,1970-01-01
35,georgetown,38.73,-27.07,79.0,69.0,20.0,8.12,PT,1970-01-01
36,qasigiannguit,-33.02,27.91,66.2,77.0,96.0,12.75,ZA,1970-01-01
37,praia da vitoria,-21.2,-175.2,71.6,94.0,75.0,5.82,TO,1970-01-01
38,east london,23.22,72.68,86.0,79.0,40.0,4.74,IN,1970-01-01
39,vaini,66.94,-53.67,44.15,68.0,98.0,7.52,GL,1970-01-01
40,gandhinagar,-0.41,-65.02,95.79,39.0,0.0,4.65,BR,1970-01-01
41,sisimiut,36.62,-121.92,60.01,92.0,68.0,4.74,US,1970-01-01
42,santa isabel do rio negro,-15.43,-74.62,68.02,52.0,53.0,12.28,PE,1970-01-01
43,pacific grove,39.01,-77.43,84.99,78.0,75.0,13.87,US,1970-01-01
44,acari,-34.53,20.04,62.6,55.0,93.0,18.34,ZA,1970-01-01
45,sterling,19.73,-155.09,71.6,83.0,90.0,4.7,US,1970-01-01
46,bredasdorp,26.92,87.92,84.2,83.0,40.0,1.12,NP,1970-01-01
47,hilo,21.39,-158.15,77.0,73.0,1.0,4.7,US,1970-01-01
48,ilam,-9.8,-139.03,78.85,78.0,47.0,21.54,PF,1970-01-01
49,nanakuli,11.13,2.94,78.78,88.0,81.0,2.1,BJ,1970-01-01
50,atuona,20.89,-156.47,77.0,69.0,40.0,6.93,US,1970-01-01
51,kandi,30.48,-115.95,70.65,75.0,80.0,7.11,MX,1970-01-01
52,kahului,5.38,-52.95,83.43,77.0,7.0,11.72,GF,1970-01-01
53,san quintin,24.14,67.45,81.52,76.0,73.0,7.76,PK,1970-01-01
54,sinnamary,71.29,-156.79,35.6,88.0,90.0,12.75,US,1970-01-01
55,keti bandar,-46.19,168.86,36.09,83.0,62.0,2.42,NZ,1970-01-01
56,barrow,-3.8,102.27,77.31,90.0,88.0,10.67,ID,1970-01-01
57,mataura,-21.25,-63.5,57.2,67.0,90.0,7.85,BO,1970-01-01
